,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
69,TanmayNrng,Rajveer2710,1601568262.0,b1c3,10.0,1.0,1143,1046,0,0
70,Pepper-Suya,SkyxDr4gon,1601568345.0,e4e5,1.0,0.0,1139,1098,2,0
71,AvirbhavShukla,ALEX811,1601568506.0,e4e5,1.0,1.0,1169,1192,0,0
72,Ivanbe,fadi46,1601568852.0,g1f3,-2.0,0.0,1115,1158,0,0
73,Roadman1,KaminoE,1601569022.0,e4d5,1.0,0.0,1109,978,0,0
74,marcin0kruk,VornameNachname,1601569109.0,b1c3,1.0,1.0,1175,1166,0,0
75,eightam,akt_prk,1601569484.0,f2f3,2.0,0.0,1196,1154,0,0
76,sulaimanov,surisanto,1601569621.0,e4d5,9.0,1.0,1069,1052,0,0
77,zqxcy,wonork,1601569864.0,e4e5,1.0,1.0,960,907,1,0
78,Dmitry12372,Vital235,1601570119.0,f1d3,3.0,0.0,1109,1197,0,0
79,kmedelis,Kangmust,1601570213.0,e4e5,2.0,1.0,1104,1043,0,0
80,Paputznack,endgamewizard8_956,1601570464.0,b1c3,2.0,1.0,1198,1156,0,0
81,dukecaboon,Chinevarufino,1601570507.0,b1c3,4.0,0.0,1073,1133,0,0
82,Maxsemus,AvirbhavShukla,1601570762.0,b1c3,5.0,1.0,1067,1180,1,0
83,sergiouve,Pran7,1601570771.0,e4d5,2.0,1.0,1098,1128,0,0
84,AvirbhavShukla,sandy89,1601571353.0,e4e5,3.0,0.0,1184,1152,1,1
85,Creamycookie,Seyedmostafahosseini,1601571636.0,b1c3,6.0,1.0,1097,1102,0,0
86,Dmitry12372,xda1,1601572252.0,e4e5,-1.0,1.0,1100,1090,1,0
87,TheEyeOfTheSky,huzede,1601572355.0,e4d5,1.0,1.0,1038,985,0,0
88,Roadman1,ScAsgard,1601572590.0,e4e5,1.0,0.0,1106,1174,1,0
89,Leon-Rosheed,Gleff,1601572856.0,e4d5,2.0,1.0,1084,1074,1,0
90,Kahuika,Srasio,1601573052.0,e4e5,6.0,1.0,1120,1142,0,0
91,Leon-Rosheed,Kyum,1601573179.0,e4d5,4.0,0.0,1078,990,2,0
92,likovaw,Misskropi,1601573440.0,e4d5,1.0,1.0,891,917,0,0
93,Ninigofsaxol,tonyhof,1601573525.0,b1c3,8.0,1.0,937,926,0,0
94,BlunderPapi,Manarmuorad,1601573858.0,c2c4,0.0,0.0,1150,1166,1,0
95,sklump,Madni_Raza,1601573978.0,e4e5,0.0,0.0,1093,1117,0,0
96,wannabag,LiyuMerry,1601574543.0,e4d5,4.0,1.0,1039,1018,0,0
97,immuuni,puritt,1601574566.0,e4e5,50.0,1.0,1138,1114,0,0
98,HamSolo01,Quartopunto,1601574929.0,c1e3,6.0,1.0,1063,966,0,0
99,Aron_Mendez,NP-1,1601574977.0,e4e5,2.0,1.0,1157,1107,1,0
100,BadBishop969,Sendobren,1601575617.0,e4d5,2.0,1.0,1003,976,0,0
101,royalfree,Hairless_Guy,1601576250.0,e4e5,1.0,0.0,983,1036,0,0
102,TheoBart,dragonez2,1601576640.0,e4e5,0.0,0.0,1196,1165,0,0
103,vauno,Anil746,1601576924.0,f2f3,2.0,0.0,1023,930,0,0
104,phoneyaccount,SpawnHk,1601577058.0,b1c3,6.0,0.0,1090,1086,0,0
105,mostak,HamSolo01,1601577067.0,e4e5,-1.0,0.0,1098,1062,0,0
106,Sammorack,vbeng,1601577067.0,e4d5,-1.0,0.5,986,970,0,0
107,Mlafster,Xicoartur,1601577182.0,e4e5,1.0,1.0,1138,1120,0,0
108,kepur,Naineshkela,1601577209.0,c2c4,0.0,0.0,955,988,0,0
109,victorsiig,systemc3,1601577392.0,e4e5,1.0,0.0,1152,1176,0,0
110,renebu,lawrancee,1601577451.0,e4e5,0.0,0.0,1172,1197,1,0
111,mostak,kupinadec,1601577459.0,e4e5,-1.0,0.0,1096,1158,1,0
112,Horsemen217,thierry_henri,1601577488.0,c2c4,11.0,0.0,1112,1096,0,0
113,Sila444,fareesseeraf,1601577632.0,f1d3,5.0,0.0,1008,965,0,0
114,Strakkekutjes,PaulRajdeep,1601578006.0,e4e5,6.0,0.0,1097,1122,0,0
115,vauno,Dinoloveschess,1601578231.0,b1c3,3.0,0.5,1047,1027,1,0
116,Zabulon,yashh_03,1601578278.0,e4e5,1.0,0.5,1119,1090,0,0
117,Misantr0p,VaibhaV_MishrA,1601578435.0,e4e5,0.0,0.0,959,953,0,0
118,Aranel52,Alexandrbot,1601578485.0,e4e5,0.0,0.0,1115,958,0,0
119,draganmance9,jorrrrris,1601578547.0,f1d3,4.0,0.0,1151,1075,0,0
120,ViniciusBurgos,ignisaves,1601578734.0,e4e5,2.0,1.0,1181,1160,0,0
121,jackhurley23,Aleksandr_Dergachev,1601579339.0,e4e5,0.0,1.0,1038,1033,0,0
122,sklump,Sojowy_Kotlet,1601579567.0,e4e5,0.0,0.5,1099,1092,1,0
123,AleksiA,harcownik,1601579634.0,e4e5,4.0,0.0,1181,1096,0,0
124,nehringk,Castore,1601579712.0,e4d5,0.0,0.0,1080,1074,0,0
125,maish,debeche,1601579735.0,e4e5,0.0,0.0,1169,1137,0,0
126,raichoup,MantisToboggan_M_D,1601579862.0,e4e5,0.0,1.0,1153,1158,0,0
127,danilo71,panuccispizza,1601579941.0,e4e5,1.0,1.0,1174,1182,0,0
128,Kalle1501,Erenarslan007,1601580196.0,f1d3,7.0,1.0,854,808,0,0
129,vauno,emreadiguzel,1601580211.0,e4d5,2.0,1.0,1046,920,2,0
130,nehringk,ivan0009,1601580480.0,e4d5,0.0,0.0,1086,1119,1,0
131,MonkRehab,SidduASP,1601580662.0,e4d5,0.0,1.0,1114,1091,0,0
132,NextGambit,jarwo99,1601580688.0,d1f3,7.0,1.0,1136,1113,0,0
133,Misantr0p,RPTR,1601581121.0,f2f3,1.0,1.0,949,961,1,0
134,maxnormark,INRchess,1601581290.0,e4e5,3.0,0.0,1182,1148,0,0
135,Laude10,lilfroozy,1601581392.0,e4d5,1.0,1.0,974,968,1,0
136,LionsMisery,si-anjing,1601581469.0,e4e5,0.0,1.0,1091,1112,0,0
137,chouaibamrat,RZFAEHR,1601581553.0,e4e5,1.0,1.0,974,1067,0,0
138,Sila444,bulkir,1601582070.0,e4e5,-1.0,0.0,1098,1101,1,0
139,taylormar,Mina_94,1601582304.0,e4e5,2.0,1.0,1186,1166,0,0
140,Leon-Rosheed,ssskumar,1601582478.0,e4e5,1.0,0.0,1089,1081,3,0
141,Grga1729,ConversationPt1,1601582552.0,e4e5,-1.0,1.0,1063,1186,0,0
142,Madni_Raza,SchmaulFabel,1601582595.0,e4e5,0.0,0.0,1107,1161,0,1
143,Velho_Clint,DavidRemon,1601582859.0,e4e5,-1.0,0.0,1192,1179,0,0
144,Rome_Pope,Emiya_Kiritsugu,1601583480.0,b1c3,5.0,0.0,1169,1048,0,0
145,alibernard,franciccio,1601583566.0,b1c3,3.0,0.0,1091,994,0,0
146,krmyldz,Norven,1601583578.0,e4e5,-1.0,0.0,1083,1040,0,0
147,Anaykogata,meliince,1601583629.0,e4d5,4.0,1.0,993,1021,0,0
148,Kalle1501,Robymoro,1601583729.0,e4d5,1.0,0.0,873,944,1,0
149,PincoP,ConversationPt1,1601583816.0,e4e5,-2.0,1.0,1168,1197,0,0
150,ohteri,boenerges,1601584748.0,e4e5,2.0,0.0,1115,1164,0,0
151,sklump,utkanuygur,1601584845.0,f2f3,-1.0,0.0,1114,1114,2,0
152,AMohan06,MeMateCal,1601584861.0,e4e5,2.0,0.0,1105,998,0,0
153,raichoup,AkshayGandhi,1601584954.0,e4e5,0.0,0.0,1168,1159,1,0
154,nehringk,E-A-S,1601585014.0,e4d5,1.0,0.0,1093,1131,2,0
155,YagamyLight2113,klyse,1601585801.0,e4e5,5.0,0.0,1109,1090,0,0
156,Kapim,AbdelrahmanIsmai,1601586068.0,e4e5,1.0,1.0,1121,1135,0,0
157,nehringk,janLo4,1601586138.0,e4d5,0.0,1.0,1114,1129,3,0
158,sergiouve,Zarko00,1601586257.0,b1c3,2.0,1.0,1093,1079,1,0
159,THOT_SLAYER228,chemical_chess,1601586538.0,b1c3,3.0,0.0,1159,1076,0,0
160,mirzacann,JBABA11,1601586572.0,g1f3,2.0,1.0,1108,1112,0,0
161,megger26,luksa53,1601586580.0,e4e5,2.0,1.0,1079,1086,0,0
162,micahcantor,schacherei,1601586759.0,e4d5,0.0,1.0,1169,1167,0,0
163,Dudule92,Pesadelo_Caos,1601586839.0,b1c3,2.0,1.0,1160,1140,0,0
164,Kalle1501,Jbocss,1601586848.0,b1d2,5.0,1.0,885,975,2,0
165,motorolaRU,Elviro,1601586993.0,e4e5,1.0,1.0,1082,1130,0,0
166,woahdud,Bran_Ruz,1601587152.0,e4e5,0.0,0.0,1052,1062,0,0
167,janeshep,imocssen,1601587325.0,e4e5,2.0,0.0,1195,1189,0,0
168,krmyldz,babosko,1601587387.0,e4e5,1.0,1.0,1076,1128,1,0
169,Nuxoz254,Neomorph,1601587547.0,b1c3,4.0,1.0,1001,1115,0,0
170,BlunderPapi,yoyo28,1601587633.0,e4e5,0.0,1.0,1165,1170,2,0
171,jornby,Kytovoi,1601587951.0,e4e5,1.0,1.0,1137,1131,0,0
172,Baraka7,anish0000,1601588042.0,e4e5,2.0,1.0,1136,1149,0,0
173,DansGame,troll1704,1601588065.0,e4e5,0.0,0.0,1096,1101,0,0
174,motorolaRU,tobiasavila,1601588070.0,e4e5,2.0,1.0,1093,1105,1,0
175,dunno_lol,Kornetin,1601588412.0,e4d5,2.0,0.0,1040,1050,0,0
176,andrey9612,SappySeal,1601589124.0,c2c3,5.0,0.0,1033,1026,0,0
177,Baraka7,fideoflash,1601589267.0,e4e5,2.0,0.0,1128,1174,1,0
178,ikodaka,Savy50,1601589573.0,e4e5,2.0,0.5,970,998,0,0
179,mirzacann,Patti_97,1601589668.0,e4d5,0.0,1.0,1126,1141,1,0
180,chouaibamrat,sarusapon,1601590213.0,f2f3,1.0,0.0,997,952,1,0
181,BigHandsTheMan,pgt1234,1601590669.0,e4d5,1.0,0.0,1180,1198,1,0
182,SteveMcQueen527,vbeng,1601590933.0,b1c3,2.0,1.0,932,971,0,0
183,Bassak,LiyuMerry,1601590965.0,b1c3,0.0,1.0,1003,1005,0,0
184,Velho_Clint,LuisCamachoGonzalez,1601591058.0,e4e5,-1.0,1.0,1198,1158,1,0
185,mostak,cody_69,1601591144.0,b1c3,3.0,1.0,1103,1181,2,0
186,sjoberg83,alki284,1601591199.0,b1c3,2.0,1.0,1194,1190,0,0
187,jtr24,marcelino22,1601591649.0,e4e5,2.0,1.0,1131,1136,0,0
188,cykeltyven,mychess6600,1601591721.0,e4e5,2.0,1.0,1175,1200,0,0
189,TheStarbucksBarista,raphabri,1601591757.0,e4d5,4.0,0.0,1089,1030,0,0
190,EvgenSamara,ak47ross,1601592041.0,e4e5,1.0,1.0,1195,1159,0,0
191,elmopants,jsooosososo,1601592061.0,e4e5,1.0,1.0,1134,1077,0,0
192,Henmen,PelozM,1601592291.0,e4e5,2.0,0.0,939,858,0,0
193,SkarpasTorres,schacherei,1601592361.0,e4e5,0.0,0.0,1159,1154,0,0
194,JethroBodene,Castore,1601592769.0,e4d5,1.0,0.0,1049,1058,1,0
195,jornby,zantoichi,1601593264.0,e4d5,1.0,0.0,1140,1190,1,0
196,dmtDonkey,xRaizeRx,1601593266.0,b1c3,5.0,1.0,914,809,0,0
197,mostak,r_user123,1601593306.0,b1c3,0.0,1.0,1112,1149,3,0
198,DavideCaverzan,upchar,1601593474.0,b1c3,5.0,1.0,1127,1168,0,0
199,mostak,BryanStarmer,1601593487.0,e4e5,0.0,1.0,1107,1107,4,0
200,Mortuis13,filipeff,1601593597.0,e4d5,2.0,0.0,1060,1147,0,0
201,kerso123,Nopeanuts,1601593696.0,e4d5,2.0,0.0,1093,1080,0,0
202,DavideCaverzan,YANQU,1601593710.0,e4e5,3.0,0.5,1122,1076,1,0
203,atentatent,Prince_Valiant,1601594286.0,b1c3,11.0,0.0,1152,1127,0,0
204,psilly,Niksinajana,1601594564.0,b1c3,3.0,0.0,1144,1096,0,0
205,gradroma,penultimate9,1601594839.0,b1c3,5.0,0.0,1164,1189,0,0
206,PaVIcH_05,Gabrielgondim09,1601594968.0,e4e5,0.0,0.0,1026,970,0,0
207,SteveMcQueen527,Gabrielgondim09,1601595479.0,e4e5,0.0,1.0,933,965,1,0
208,GamerDio,schroedel0103,1601595532.0,e4e5,2.0,1.0,1102,1045,0,0
209,Faraonas,lionrchess,1601595877.0,b1c3,6.0,0.0,1091,1130,0,0
210,frecciarossa,akt_prk,1601596002.0,b1c3,1.0,0.0,1138,1154,0,0
211,Jdjadhav,MoNu92,1601596163.0,e4e5,2.0,0.0,1159,1194,0,0
212,Tayebhenia,C04sarkar,1601596232.0,e4e5,1.0,0.0,1141,1079,0,0
213,SteveMcQueen527,Gabrielgondim09,1601596330.0,b1c3,3.0,1.0,934,964,2,0
214,Itrujillo624,Kronosxcv,1601596835.0,e4e5,2.0,0.0,1026,1144,0,0
215,ironic_lemon,schacherei,1601597228.0,e4d5,0.0,0.0,1102,1181,0,0
216,Kalle1501,dr_pilsbury,1601597391.0,b1c3,2.0,1.0,893,1001,3,0
217,bdev,shnakz,1601597463.0,e4d5,1.0,0.0,1101,1098,0,0
218,brijwhiz,Gabriele0508,1601597463.0,e4e5,1.0,1.0,1092,1063,0,0
219,mercury2112,Brainbiter,1601597504.0,f2f3,6.0,1.0,1018,913,0,0
220,mercury2112,Vicen22,1601597623.0,e4e5,1.0,0.0,1010,990,1,0
221,Nikolay1983,YDALGA,1601597897.0,e4e5,3.0,0.0,1083,1053,0,0
222,bdev,Tyberzann,1601598586.0,e4d5,2.0,1.0,1094,1119,1,0
223,Guillaume3006,Elsherbeeny1,1601598667.0,b1c3,1.0,1.0,1157,1140,0,0
224,JulesP66,Arthuralvesaal,1601598759.0,b1c3,5.0,0.0,1117,1139,0,0
225,andy34001,n0-name,1601599966.0,e4d5,0.0,0.0,1093,1084,0,0
226,Arthur_M,MahlaMashayekhi,1601600059.0,e4e5,2.0,0.0,1075,1066,0,0
227,chosenPessimist,kavish007,1601600761.0,e4e5,-2.0,1.0,1036,1071,0,0
228,v3sk0o0,Makkenti,1601600868.0,b1c3,10.0,1.0,1179,1142,0,0
229,MAndarinkaT1000,Keyvanfeyzi,1601600983.0,e4e5,0.0,0.0,1149,1073,0,0
230,VALDOXAN25,jmmo,1601601091.0,e4e5,0.0,0.0,1035,1051,0,0
231,Erdemius1,DrEaDeDLoCk,1601601191.0,e4e5,0.0,1.0,1193,1184,2,0
232,marcin0kruk,Shahriar56,1601601320.0,e4e5,0.0,0.0,1195,1189,1,0
233,ninjachef27,chexpirit,1601601482.0,e4e5,0.0,1.0,1144,1164,1,0
234,teyfur,YusufGezergil,1601601541.0,e4d5,1.0,0.0,1195,1140,0,0
235,thefly3r,jordanburger,1601601585.0,f2f3,2.0,1.0,1169,1199,0,0
236,sKo,Ravshanjon_353,1601601624.0,e4d5,1.0,0.0,1184,1194,0,0
237,Maxsemus,ggmalie,1601601708.0,e4e5,6.0,0.5,1073,988,2,0
238,jornby,Keyvanfeyzi,1601601962.0,e4e5,0.0,1.0,1136,1155,2,0
239,TheStarbucksBarista,thegoose19,1601602096.0,e4e5,-1.0,1.0,1096,1187,1,0
240,Flankmain,DONCULOS,1601602762.0,b1c3,5.0,0.0,1048,1033,0,0
241,Rj0716,prem12,1601603001.0,e4e5,1.0,1.0,1015,919,0,0
242,VALDOXAN25,kov97,1601603025.0,e4e5,1.0,1.0,1041,1035,1,0
243,TheEyeOfTheSky,Abhinav_Mane,1601603087.0,b1c3,4.0,0.0,1042,1023,1,0
244,TheAkinfenwa360,pekisch,1601603119.0,e4e5,2.0,0.0,1116,1145,0,0
245,MurpheyG,vasilyevs2008,1601603131.0,e4e5,0.0,1.0,1009,1033,0,0
246,Mortuis13,jinsawoo,1601603201.0,e4e5,0.0,1.0,1081,1030,1,0
247,MAKAVELI999,mkgoli,1601603315.0,e4d5,1.0,0.0,1045,1102,0,0
248,st6,Karan_108,1601603435.0,e4d5,1.0,1.0,1192,1162,0,0
249,Tayebhenia,GuiDanado,1601603867.0,b1c3,2.0,1.0,1139,1123,1,0
250,Ivyth,cessatchess,1601603887.0,b1c3,7.0,1.0,1163,1200,0,0
251,MoNu92,billnemeth,1601604169.0,e4e5,2.0,1.0,1189,1198,1,1
252,Thedoenerrmen,Ommisen,1601604271.0,b1c3,-1.0,1.0,1098,1144,0,0
253,Hakan_Erbay,plamen2909,1601604608.0,b1c3,3.0,1.0,1184,1085,0,0
254,Luka_Marinkovic,Pinzgauer710,1601604694.0,e4e5,0.0,0.0,1041,1114,0,0
255,Aqwwe,Endless_Looser,1601604886.0,e4e5,-1.0,0.0,913,916,0,0
256,JethroBodene,TropicBlunder,1601605076.0,b1c3,2.0,1.0,1046,1136,2,0
257,MurpheyG,joz41blois,1601605134.0,e4e5,4.0,0.0,1004,968,1,0
258,MigoMyFamily,hhuseyinarslan,1601605192.0,f2f3,3.0,0.0,1183,1194,0,0
259,ankhangc,PierreDelannoy,1601605279.0,e4e5,1.0,0.0,1150,1146,0,0
260,Lehurleur41,TheElectWon,1601605367.0,e4e5,1.0,1.0,1090,1117,0,0
261,Luka_Marinkovic,arnaud678,1601605501.0,b1c3,1.0,0.0,1059,1046,1,0
262,Zabulon,yuniDev,1601605572.0,e4d5,2.0,1.0,1137,1058,1,0
263,KarlMatt3,Old_Viking,1601605796.0,e4d5,1.0,1.0,1148,1114,0,0
264,royalfree,EduKivi,1601606260.0,f2f3,4.0,0.0,982,985,1,0
265,Lehurleur41,Rubencbr,1601606331.0,e4d5,2.0,0.0,1085,1033,1,0
266,Ali1359rahm,Delacharette1,1601606699.0,e4e5,-1.0,1.0,1164,1109,0,0
267,id-chess,Rafal009,1601606865.0,b1c3,2.0,1.0,1018,1033,0,0
268,Grga1729,dunker1100,1601607236.0,b1c3,0.0,0.0,1078,928,1,0
269,Grga1729,emirhun,1601607395.0,e4d5,5.0,1.0,1082,927,2,0
270,genleman,I1Icarus,1601607524.0,e4e5,1.0,1.0,1182,1194,0,0
271,CaptSullivan,Kokowei,1601607817.0,e4e5,1.0,1.0,1072,1057,0,0
272,enzo2vip,Orhaan123,1601608110.0,f2f3,2.0,1.0,1164,1081,0,0
273,Pepper-Suya,Appleseedcast,1601608520.0,e4e5,1.0,0.0,1131,1135,3,0
274,Valera50,jinsawoo,1601609596.0,e4d5,0.0,0.0,1071,1042,0,0
275,edixR,baileyrogg,1601609620.0,c1e3,3.0,0.0,903,986,0,0
276,Pepper-Suya,Samchessind,1601609871.0,e4e5,3.0,0.0,1136,1127,4,0
277,lovecraftianhorrors,berecobeco,1601609879.0,b1c3,1.0,0.5,956,907,0,0
278,edixR,Luismaria,1601609978.0,e4d5,3.0,1.0,911,1020,1,0
279,vito-gandolini,les_arcanes_lunaire,1601610089.0,b1c3,14.0,0.0,929,1004,0,0
280,Allexandreh,Sergei1K,1601610114.0,b1c3,7.0,0.0,986,1014,0,0
281,lovecraftianhorrors,berecobeco,1601610509.0,b1c3,2.0,1.0,954,909,1,0
282,AbjectCement,einsauszwei,1601610642.0,e4d5,0.0,0.0,976,1084,0,0
283,HuskyCereal1,Siyah-04,1601610755.0,e4d5,0.0,0.0,1098,1155,0,0
284,ziuwari,nikita_sukhikh,1601611107.0,b1c3,2.0,0.0,973,950,0,0
285,MurpheyG,Denisfss,1601611421.0,e4d5,1.0,0.0,1020,1047,2,0
286,Konkeestador,turner_prize,1601611488.0,e4d5,1.0,0.0,1034,1018,0,0
287,OSK01,Soeroca,1601611554.0,e4e5,1.0,0.0,1082,1054,0,0
288,MurpheyG,matrox03,1601611729.0,b1c3,1.0,1.0,1027,1052,3,0
289,Konkeestador,andrej10,1601611856.0,b1c3,0.0,0.0,1036,1058,1,0
290,id-chess,gokhanan7,1601612289.0,e4e5,4.0,1.0,1009,1012,1,0
291,tybodsm,PolarRockFarmer,1601612399.0,e4e5,0.0,0.0,1169,1175,0,0
292,Harrintong,Levanchik89,1601613471.0,e4e5,4.0,0.0,1102,1011,0,0
293,id-chess,vilov01,1601614147.0,b1c3,2.0,1.0,1015,1031,2,0
294,sutoneIGT,Guillermo-III,1601614500.0,e4d5,3.0,0.0,948,1009,0,0
295,kurdeeblaszka,bq1w13w4s,1601614731.0,e4e5,1.0,0.0,954,958,0,0
296,svndk,ALNEMER140,1601614747.0,e4e5,8.0,0.0,995,930,0,0
297,cabemi,flopeChessMaster,1601614913.0,e4e5,0.0,0.0,1166,1161,0,0
298,sutoneIGT,Guillermo-III,1601615517.0,e4e5,14.0,0.0,951,1007,1,0
299,JethroBodene,EpsilonNull,1601616113.0,e4e5,0.0,0.0,1024,978,3,0
300,arcanokiller,TMphelps,1601616316.0,b1c3,8.0,0.0,1154,1114,0,0
301,crocodantas,mantequilla96,1601616567.0,b1c3,6.0,1.0,1138,1125,0,0
302,Dgusev,merhaba24,1601616873.0,b1c3,4.0,1.0,1014,1025,1,0
303,ankhangc,Marta1994,1601616998.0,e4e5,0.0,0.0,1111,1072,1,0
304,larissaazevedo,sarena4,1601617179.0,e4d5,9.0,0.0,957,902,0,0
305,Vexuria,Akbari_Javad_94,1601617321.0,e4e5,-1.0,1.0,1047,1007,0,0
306,Vexuria,Gambit_Gambler,1601617769.0,e4d5,-1.0,1.0,1042,1099,1,0
